State,High_Risk
Alabama,Red
Alaska,Green
Arizona,Green
Arkansas,Red
California,Green
Colorado,Green
Connecticut,Green
Delaware,Green
District of Columbia,Green
Florida,Green
Georgia,Green
Hawaii,Green
Idaho,Green
Illinois,Green
Indiana,Green
Iowa,Green
Kansas,Green
Kentucky,Green
Louisiana,Green
Maine,Green
Maryland,Green
Massachusetts,Green
Michigan,Red
Minnesota,Green
Mississippi,Red
Missouri,Green
Montana,Green
Nebraska,Green
Nevada,Green
New Hampshire,Green
New Jersey,Green
New Mexico,Green
New York,Green
North Carolina,Green
North Dakota,Green
Ohio,Green
Oklahoma,Red
Oregon,Green
Pennsylvania,Red
Rhode Island,Green
South Carolina,Green
South Dakota,Green
Tennessee,Green
Texas,Green
Utah,Green
Vermont,Green
Virginia,Green
Washington,Green
West Virginia,Red
Wisconsin,Green
Wyoming,Green